Repository	Collection Name	Barcode	Title	Description	Original Format	Date	CLIO ID	Physical Object Sequence No	No. of Physical Objects in Title	Identifer (Intellectual item filename)	Master assets filenames	Master assets directory path	Service (Mezzanine) assets filenames	Service (Mezzanine) assets directory path	Access (Streaming) assets filenames	Access (Streaming) assets directory path	Related assets filenames	Related assets directory path	Notes on quality and contents	Internal notes	Duration	Year digitized	Hyacinth Project	Restrictions on Access	Use and Reproduction Value	Shipping Date	Shipping Box	Unique ID	Part	Filename Prefix	collection_name	bib_id	rights	restrictions	repo_code	series_title	subseries_title	ref_id	unittitle	unitdate	creator_1	creator_1_id	creator_2	creator_2_id	box_num	container2	physfacet	form	scopenote	language
RBML	Bennett Cerf papers	PRES047775	Bennett Cerf interviewed by Arnold Michaelis	Interview from "View from the Top," WOR-TV	cassette	06/20/63	4079659	1	1	RBML_4079659_25-16_01	RBML_4079659_25-16_01_01_m.wav	/digital/ingest/RBML/RBML_AMI-Mellon/RBML_BennettCerf_4079659/RBML_4079659_25-16_01/Master/RBML_4079659_25-16_01_01_m.wav	RBML_4079659_25-16_01_01_s.wav	/digital/ingest/RBML/RBML_AMI-Mellon/RBML_BennettCerf_4079659/RBML_4079659_25-16_01/Service/RBML_4079659_25-16_01_01_s.wav	RBML_4079659_25-16_01_01_s.mp3	/digital/ingest/RBML/RBML_AMI-Mellon/RBML_BennettCerf_4079659/Access/RBML_4079659_25-16_01/Streaming/RBML_4079659_25-16_01_01_s.mp3				Digitized as part of AMI-Mellon Project	00:31:40.704	2020				01/13/20	PRES046990	RBML_4079659_25-16		RBML	Bennett Cerf papers	4079659	In Copyright	On-site Access	US-NNC-RB	Series III: Arranged Materials	No Subseries	bec71b5111c785d44e3af5187b12e808	Bennett Cerf interviewed by Arnold Michaelis	06/20/63	Michaelis, Arnold	https://lccn.loc.gov/n2003124717	Cerf, Bennett, 1898-1971	https://lccn.loc.gov/n50034324	25					
RBML	Paul Bowles papers	PRES043907	"Wet and Dry"		1/4 inch open-reel audio	circa June 17, 1968	4079417	1	1	RBML_4079417_1-16_01	RBML_4079417_1-16_01_01_m.wav	/digital/ingest/RBML/RBML_AMI-Mellon/RBML_PaulBowles_4079417/RBML_4079417_1-16_01/Master/RBML_4079417_1-16_01_01_m.wav	RBML_4079417_1-16_01_01_s.wav	/digital/ingest/RBML/RBML_AMI-Mellon/RBML_PaulBowles_4079417/RBML_4079417_1-16_01/Service/RBML_4079417_1-16_01_01_s.wav	RBML_4079417_1-16_01_01_s.mp3	/digital/ingest/RBML/RBML_AMI-Mellon/RBML_PaulBowles_4079417/Access/RBML_4079417_1-16_01/Streaming/RBML_4079417_1-16_01_01_s.mp3					00:08:26.231	2020				43790	PRES080845	RBML_4079417_1-16		RBML			In Copyright	On-site Access	US-NNC-RB	Series III: Audio Material	No Subseries	1f555cfc3e1105e7ac2c287ef11cb377			Bowles, Paul, 1910-1999	http://id.loc.gov/authorities/names/n79043627					(3-inch spool of half-inch audio tape, labelled "3 3/4")	AUDIO RECORDINGS	Labelled "Tape of Original Composition "Wet and Dry" Paul Bowles." Described in letter to Ira Cohen dated June 17 1968 	English
